"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y"
93, 1.000000000000000e+00, -1.000000000000000e-03, 9.921930116395091e-01, -8.288377314942753e-01, -2.662050697517043e-05, -1.236277946713738e-04
70, 9.997621355856203e-01, -1.104661643295719e-03, 9.923996911437895e-01, -8.068953686311524e-01, -3.569989605843483e-06, -1.570872413188000e-06
108, 9.990485012488061e-01, -1.418679969540249e-03, 9.931866276350682e-01, -7.233493677734680e-01, 5.448603204064070e-06, 2.397670802884325e-06
168, 9.978686702132833e-01, -1.937885585193106e-03, 9.934713850873175e-01, -6.931177714330868e-01, 7.148722600030301e-06, 3.146158302922932e-06
226, 9.962132437955421e-01, -2.666478950783700e-03, 9.935155532986476e-01, -6.884286034219892e-01, 7.326966892545301e-06, 3.225051439271351e-06
290, 9.940822606931574e-01, -3.604518675207157e-03, 9.935473648594174e-01, -6.850512931652994e-01, 7.052196442505991e-06, 3.104582875460323e-06
359, 9.914853571674017e-01, -4.747832750625662e-03, 9.935953310855943e-01, -6.799589046209575e-01, 6.468623926055700e-06, 2.848098758033728e-06
394, 9.884321728242919e-01, -6.092220607805053e-03, 9.936320522833670e-01, -6.760603572100564e-01, 5.788329293256541e-06, 2.548875493487480e-06
395, 9.849038280601278e-01, -7.645991684110785e-03, 9.936706478907898e-01, -6.719628109829023e-01, 5.063625895815526e-06, 2.229899812019260e-06
396, 9.809288756219902e-01, -9.396493349352534e-03, 9.937073527567718e-01, -6.680659974550071e-01, 4.332981046497269e-06, 1.908103041086477e-06
470, 9.764883938926089e-01, -1.135187346729711e-02, 9.937445596885560e-01, -6.641158815445033e-01, 3.612976248834201e-06, 1.590814581900315e-06
471, 9.716109697805432e-01, -1.349922181044633e-02, 9.937771761949079e-01, -6.606531133315032e-01, 2.910184574326531e-06, 1.280990371660563e-06
516, 9.662775255275239e-01, -1.584644201712673e-02, 9.938058494720857e-01, -6.576089824947214e-01, 2.225132506249603e-06, 9.789626617384220e-07
521, 9.605069335344338e-01, -1.838452048322192e-02, 9.938300804157492e-01, -6.550364770098140e-01, 1.564080841723880e-06, 6.876203042879127e-07
537, 9.542990465612926e-01, -2.111256709963092e-02, 9.938486187823486e-01, -6.530683303944449e-01, 9.302441574439769e-07, 4.085429352319185e-07
469, 9.922119222715451e-01, -2.878874190215523e-03, 9.945198603253063e-01, -5.818052143168998e-01, 1.078384700813907e-04, 4.001011171842391e-05
393, 9.948726051760148e-01, -1.892805925729301e-03, 9.931733051787255e-01, -7.247637613889203e-01, 1.319957534507650e-04, 4.886909354912882e-05
325, 9.970564384455434e-01, -1.085277745495827e-03, 9.900889692359756e-01, -1.052215768220703e+00, 1.706325239723844e-04, 6.303654789795059e-05
259, 9.987533013274225e-01, -4.591654735421370e-04, 9.893832294180275e-01, -1.127141432602825e+00, 2.707971888380668e-04, 9.984406302559706e-05
196, 9.999628926939207e-01, -1.365583390530554e-05, 1.018148988171910e+00, 1.926807815091483e+00, -3.060334827243604e-04, -1.127194208069278e-04
135, 1.000000000000000e+00, 0.000000000000000e+00, 9.637135007883919e-01, -3.852397147486847e+00, -4.511857499863225e-05, -1.232498707046334e-03
538, 9.476630050780430e-01, -2.402529359584282e-02, 9.938600779013324e-01, -6.518517600929646e-01, 3.264725282155282e-07, 1.431411447407066e-07
541, 9.406073032709968e-01, -2.711568110980873e-02, 9.938641838059875e-01, -6.514158520906757e-01, -2.454611843014264e-07, -1.072888540872742e-07
544, 9.331391429429394e-01, -3.037354181207937e-02, 9.938613501419024e-01, -6.517166912367980e-01, -7.831405419731337e-07, -3.405178624249245e-07
545, 9.252458505652166e-01, -3.379500462680433e-02, 9.938499792909984e-01, -6.529238904579600e-01, -1.285979536712317e-06, -5.548501365710695e-07
550, 9.169519941343894e-01, -3.735766673064678e-02, 9.938300859318392e-01, -6.550358913878898e-01, -1.755230126642683e-06, -7.493014742032741e-07
551, 9.082431930377265e-01, -4.105337841912880e-02, 9.937996036774663e-01, -6.582720743304810e-01, -2.191093955593152e-06, -9.224241401208779e-07
552, 8.991326220984526e-01, -4.485940753267163e-02, 9.937572675997314e-01, -6.627667318104115e-01, -2.586398963782969e-06, -1.070158409766868e-06
553, 8.896241310836983e-01, -4.875727329810366e-02, 9.937063920415995e-01, -6.681679928656900e-01, -2.930481924483829e-06, -1.189127419956822e-06
556, 8.797148393122844e-01, -5.273873200585198e-02, 9.936470547589955e-01, -6.744676024507915e-01, -3.218732335943928e-06, -1.279695073510377e-06
557, 8.694219966988325e-01, -5.678918435762517e-02, 9.935820797494511e-01, -6.813657476801516e-01, -3.450303995492951e-06, -1.343089438277596e-06
558, 8.587630404630028e-01, -6.089457560228450e-02, 9.935138175630196e-01, -6.886128797541624e-01, -3.625682713335374e-06, -1.380888962788246e-06
567, 8.477169457374284e-01, -6.505583857949637e-02, 9.934446467862837e-01, -6.959564733434109e-01, -3.748208996064404e-06, -1.395844716181910e-06
570, 8.363209362807044e-01, -6.925208516905547e-02, 9.933776279853910e-01, -7.030715999882183e-01, -3.821717663913144e-06, -1.390710915494589e-06
571, 8.245835781897208e-01, -7.347399753051723e-02, 9.933153312272264e-01, -7.096854056367452e-01, -3.851814586024513e-06, -1.368814092416122e-06
572, 8.124941550296225e-01, -7.771937590307255e-02, 9.932538393793998e-01, -7.162137570706839e-01, -3.844237091632779e-06, -1.333354278856746e-06
573, 8.000811995613997e-01, -8.197252418418000e-02, 9.931925829302003e-01, -7.227171171436754e-01, -3.799749958221553e-06, -1.285467389095331e-06
578, 7.873537456814902e-01, -8.622445563749208e-02, 9.931323693861653e-01, -7.291097560126832e-01, -3.718370660114335e-06, -1.225559560023822e-06
579, 7.743298438441808e-01, -9.046006431065071e-02, 9.930683369555044e-01, -7.359078312909327e-01, -3.599988894857582e-06, -1.153991624430462e-06
577, 7.610077150197835e-01, -9.466978688949318e-02, 9.930190431591361e-01, -7.411411628231552e-01, -3.451217298261385e-06, -1.073829879001776e-06
576, 7.473953596122606e-01, -9.884060121810900e-02, 9.929911759383739e-01, -7.440997177707306e-01, -3.288924493234965e-06, -9.911835221206491e-07
575, 7.335206854829130e-01, -1.029535558860237e-01, 9.929698898671273e-01, -7.463595775514581e-01, -3.124553788554049e-06, -9.099543784050123e-07
574, 7.193921869180818e-01, -1.069958807641499e-01, 9.929480933649745e-01, -7.486736278054964e-01, -2.957874000598262e-06, -8.303289695217627e-07
569, 7.050082799618819e-01, -1.109575061185475e-01, 9.929313400650324e-01, -7.504522608042763e-01, -2.790889008902601e-06, -7.531468031037721e-07
568, 6.903975049090465e-01, -1.148203596282169e-01, 9.929233144429112e-01, -7.513043100357620e-01, -2.630480082231536e-06, -6.806504186951467e-07
566, 6.755695490162060e-01, -1.185749310438978e-01, 9.929223996052110e-01, -7.514014348128291e-01, -2.482986986572648e-06, -6.147441367422019e-07
565, 6.605348555915000e-01, -1.222138291368470e-01, 9.929269990625528e-01, -7.509131282324646e-01, -2.353991490661028e-06, -5.565248723839327e-07
564, 6.453141758394891e-01, -1.257278318776100e-01, 9.929341801704471e-01, -7.501507378071283e-01, -2.247688110342541e-06, -5.063406690434719e-07
563, 6.299284279037715e-01, -1.291085931395241e-01, 9.929421505641512e-01, -7.493045519628795e-01, -2.165951719998720e-06, -4.638492502540821e-07
562, 6.143888443847303e-01, -1.323506442315056e-01, 9.929466724160670e-01, -7.488244844501613e-01, -2.108995671060101e-06, -4.282866128437519e-07
561, 5.987067674368181e-01, -1.354489661389754e-01, 9.929461410458669e-01, -7.488808979672512e-01, -2.073811113956984e-06, -3.981007207923508e-07
560, 5.829036256135732e-01, -1.383947280936979e-01, 9.929369822121528e-01, -7.498532558866188e-01, -2.056179069992972e-06, -3.711537425123063e-07
559, 5.669902863080678e-01, -1.411739979915255e-01, 9.929208350731241e-01, -7.515675351278117e-01, -2.050617948844719e-06, -3.453697918265778e-07
555, 5.509981481232903e-01, -1.437683220023802e-01, 9.928933540880556e-01, -7.544850849270038e-01, -2.052126313458232e-06, -3.194412006034154e-07
554, 5.349280422289686e-01, -1.461649196884494e-01, 9.928550141281225e-01, -7.585554900498461e-01, -2.053697569471924e-06, -2.921384447581815e-07
549, 5.188115378527824e-01, -1.483468667726707e-01, 9.928070167001981e-01, -7.636511911629326e-01, -2.047712423126531e-06, -2.624729321649200e-07
548, 5.026497511328263e-01, -1.503023061757285e-01, 9.927561797063410e-01, -7.690483579984501e-01, -2.032140608872313e-06, -2.307001485549038e-07
547, 4.864746862420334e-01, -1.520179299057171e-01, 9.926966517885348e-01, -7.753682065849721e-01, -2.003249712756762e-06, -1.976838483789121e-07
546, 4.702995377529798e-01, -1.534946763710580e-01, 9.926142613391266e-01, -7.841152816453038e-01, -1.947377630956566e-06, -1.638315322868421e-07
543, 4.541381176622994e-01, -1.547383830397680e-01, 9.925056681947168e-01, -7.956441953969821e-01, -1.842675822694201e-06, -1.290069119683849e-07
542, 4.380247555402706e-01, -1.557542545000129e-01, 9.923900782245237e-01, -8.079159350556588e-01, -1.680011481419410e-06, -9.461247586559090e-08
142, 2.196161454589945e-02, -7.284655033914589e-02, 9.702903426042878e-01, -3.154159312437595e+00, 7.196292265460407e-05, -6.239538241690619e-05
141, 1.843144503504924e-02, -6.965269331080645e-02, 9.699636690393689e-01, -3.188840980192701e+00, 7.705149042514116e-05, -7.282894394048537e-05
140, 1.529737814623708e-02, -6.654752488903223e-02, 9.698284675174327e-01, -3.203194802378900e+00, 8.173910992736617e-05, -8.476009971149449e-05
139, 1.251908921820435e-02, -6.352182316784899e-02, 9.698692151293590e-01, -3.198868786164540e+00, 8.589561234694678e-05, -9.798863511427494e-05
138, 1.006239962634175e-02, -6.057552718156930e-02, 9.701728427664326e-01, -3.166633815352413e+00, 8.949898950454909e-05, -1.128001128938279e-04
137, 7.917903259379869e-03, -5.772271528435141e-02, 9.705839615704979e-01, -3.122986923465066e+00, 9.228549406808995e-05, -1.296331063926535e-04
95, 6.075661641799378e-03, -5.497537046649012e-02, 9.708705811990714e-01, -3.092557627073274e+00, 9.379490136217776e-05, -1.487900053786501e-04
94, 4.487485890136537e-03, -5.228092888223307e-02, 9.697514012059475e-01, -3.211376634326962e+00, 9.275161392580301e-05, -1.692611030228913e-04
59, 3.124498051550219e-03, -4.958983394217520e-02, 9.674780577608212e-01, -3.452728707234036e+00, 9.172906323371793e-05, -1.889589978024947e-04
60, 2.537646184044878e-03, -4.826432014613557e-02, 9.674982851626214e-01, -3.450581242290071e+00, 8.605886793641879e-05, -2.044482083493501e-04
61, 2.003080565366857e-03, -4.692570645177865e-02, 9.698141872944721e-01, -3.204710878368429e+00, 7.573156266460803e-05, -2.149048268046982e-04
100, 1.078855380144595e-03, -4.412468306450189e-02, 9.710899419545226e-01, -3.069268944865533e+00, 6.296662335406173e-05, -2.257083331806102e-04
158, 4.060150173504681e-04, -4.120091157440327e-02, 9.703087991715628e-01, -3.152199850139847e+00, 4.048218613947225e-05, -2.342710498549305e-04
217, 3.518008537548110e-05, -3.808491766816596e-02, 9.708191284167695e-01, -3.098020169784109e+00, 1.252542345298615e-05, -2.382004829215425e-04
282, 6.353361456930447e-05, -3.468781955477407e-02, 9.715102607428903e-01, -3.024645326260165e+00, -1.902312762627544e-05, -2.342499500135514e-04
345, 6.108891382802526e-04, -3.099566192038775e-02, 9.730658740729538e-01, -2.859491881162547e+00, -4.854839549117798e-05, -2.175234887266456e-04
