"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y"
93, 1.000000000000000e+00, 0.000000000000000e+00, 9.957793921348238e-01, -4.480855980525093e-01, -7.342347275549527e-06, 4.131344151097758e-05
70, 9.997525021315767e-01, -6.028846709612522e-05, 9.957333883548424e-01, -4.529696412813853e-01, 1.744756729989992e-05, 4.233532741741295e-06
108, 9.990097314105549e-01, -2.402818928549520e-04, 9.959633832355143e-01, -4.285519751662291e-01, 1.307744028406718e-05, 3.166465985606769e-06
168, 9.977816168756556e-01, -5.375027375379667e-04, 9.960019475797869e-01, -4.244577480267024e-01, 1.012870356778661e-05, 2.481008065241010e-06
226, 9.960605069113826e-01, -9.626892295573386e-04, 9.960227701656432e-01, -4.222470946955980e-01, 7.930945714642306e-06, 2.018668697993671e-06
290, 9.938520663098777e-01, -1.537693762635336e-03, 9.960382506579007e-01, -4.206035907613441e-01, 6.227607713791135e-06, 1.672692645901967e-06
359, 9.911705383453117e-01, -2.276101190468912e-03, 9.960497063681579e-01, -4.193873823511627e-01, 4.873076270789644e-06, 1.376161792737783e-06
394, 9.880279853253435e-01, -3.182420272821462e-03, 9.960680281995159e-01, -4.174422244441249e-01, 3.725549616003462e-06, 1.091161563383232e-06
395, 9.844043031029812e-01, -4.257837198902473e-03, 9.960877140166245e-01, -4.153522574502561e-01, 2.705398878187255e-06, 8.077997833200393e-07
396, 9.803262481518524e-01, -5.482066979299980e-03, 9.961025688427634e-01, -4.137751780657188e-01, 1.785816532399524e-06, 5.371319479546997e-07
470, 9.757724904314534e-01, -6.854085061166334e-03, 9.961128631312692e-01, -4.126822733067317e-01, 9.514031006039689e-07, 2.858111468583100e-07
471, 9.707687541145170e-01, -8.353235183574519e-03, 9.961157531452471e-01, -4.123754517106399e-01, 1.966129576138578e-07, 5.838484240680439e-08
516, 9.652898214906430e-01, -9.966946906792631e-03, 9.961107112951072e-01, -4.129107254217769e-01, -4.826911296638251e-07, -1.405102822574345e-07
521, 9.593515988638538e-01, -1.167674292643468e-02, 9.960974998872144e-01, -4.143133294532008e-01, -1.081437227605310e-06, -3.075803731421645e-07
537, 9.529527450950236e-01, -1.347583532341457e-02, 9.960756844079769e-01, -4.166293944308549e-01, -1.598076076076964e-06, -4.436572671810529e-07
469, 9.909293883962930e-01, -9.351359870129665e-04, 9.977443650970605e-01, -2.394720255371424e-01, 4.877858343789438e-05, 4.036220014664709e-06
393, 9.936997083813743e-01, -6.865178443188340e-04, 9.976664953170732e-01, -2.477391586256595e-01, 5.572133044851698e-05, 5.303417356766019e-06
325, 9.959702177016506e-01, -4.553624170830464e-04, 9.975797144467536e-01, -2.569523476777603e-01, 6.476149438212443e-05, 6.860898041605210e-06
259, 9.977322397303284e-01, -2.593074054814834e-04, 9.973658626455357e-01, -2.796561655410514e-01, 7.708825263801282e-05, 8.683590274395187e-06
196, 9.989875731430485e-01, -1.154730374605512e-04, 9.969039055090302e-01, -3.287003663761056e-01, 9.428262916727504e-05, 1.079223921813143e-05
135, 9.997468875905239e-01, -2.869693312235418e-05, 9.964543607510060e-01, -3.764267930391096e-01, 1.171734844335867e-04, 1.336430188954677e-05
538, 9.461019418798973e-01, -1.535510761544173e-02, 9.960466340648201e-01, -4.197135569029132e-01, -2.035393493659578e-06, -5.515906106488426e-07
541, 9.388088342427442e-01, -1.730882803380423e-02, 9.960100996992808e-01, -4.235922690588604e-01, -2.394493415010596e-06, -6.352683985126852e-07
544, 9.310848185988040e-01, -1.933920871893355e-02, 9.959691166773341e-01, -4.279432778437531e-01, -2.672984680477057e-06, -6.982311453311431e-07
545, 9.229228401944366e-01, -2.145853225773338e-02, 9.959248129983362e-01, -4.326468279327076e-01, -2.873276862806364e-06, -7.442456363632723e-07
550, 9.143561424096398e-01, -2.367232552263739e-02, 9.958803049116485e-01, -4.373720791947858e-01, -3.005286802053860e-06, -7.760368169807318e-07
551, 9.053767625325241e-01, -2.598934850127508e-02, 9.958351523211671e-01, -4.421657549295959e-01, -3.079604083545851e-06, -7.945349171081790e-07
552, 8.960051400106832e-01, -2.840686664362428e-02, 9.957889694948708e-01, -4.470688068125918e-01, -3.103143166972763e-06, -8.009075567049111e-07
553, 8.862520711601961e-01, -3.092534694400537e-02, 9.957432130280516e-01, -4.519265937604491e-01, -3.081318810753305e-06, -7.964542502780645e-07
556, 8.761182817704118e-01, -3.354718925966324e-02, 9.957006536758896e-01, -4.564449554219511e-01, -3.021381650732072e-06, -7.825229596650600e-07
557, 8.656238910624456e-01, -3.626794394385294e-02, 9.956639153152899e-01, -4.603453249437467e-01, -2.931903755576683e-06, -7.609446790036492e-07
558, 8.547888446298215e-01, -3.908301957721833e-02, 9.956311596635883e-01, -4.638228656798578e-01, -2.821240544751320e-06, -7.337598848834516e-07
567, 8.435937196192030e-01, -4.199764185714495e-02, 9.956048419681982e-01, -4.666169135172619e-01, -2.699258965046333e-06, -7.031935574946422e-07
570, 8.320774253046259e-01, -4.499965223745764e-02, 9.955879357839128e-01, -4.684117776549173e-01, -2.576204234430922e-06, -6.716073309009819e-07
571, 8.202491641356501e-01, -4.808348489312693e-02, 9.955771455972049e-01, -4.695573300062751e-01, -2.458815761770065e-06, -6.407232357694502e-07
