"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y"
70, 1.000031205131895e+00, 2.492173484013973e-04, 8.427530619309214e-01, -1.669429867388724e+01, 6.347905436936320e-03, -8.245366840514887e-04
93, 1.000000000000000e+00, 0.000000000000000e+00, 9.132739938254295e-01, -9.207364338220920e+00, 7.260213933128025e-03, -9.068543087357552e-03
108, 9.998542627642851e-01, 5.254712131372507e-04, 9.900677947124581e-01, -1.054463785410853e+00, 7.787657497686740e-04, 3.240819679584355e-04
168, 9.988186929168504e-01, -2.553674319923794e-04, 9.818443035371430e-01, -1.927520008371940e+00, 6.314610633514522e-04, 5.336451858494284e-04
226, 9.967452787254150e-01, -2.101918599973547e-03, 9.913020834454060e-01, -9.234241288638052e-01, 2.044473640177908e-04, 1.388456368138681e-04
290, 9.942957602567364e-01, -3.327011170109478e-03, 9.961080303787128e-01, -4.131953479368990e-01, 7.731101764063162e-05, 2.018142554458824e-05
359, 9.916555540116763e-01, -3.430550708145200e-03, 9.986414501318376e-01, -1.442319802278768e-01, 3.683243927208931e-05, -2.471603567812153e-06
394, 9.886992979578562e-01, -2.951466230420396e-03, 9.988600959481972e-01, -1.210192003357773e-01, 1.947730203219339e-05, -1.203129108163662e-06
395, 9.851237951557725e-01, -3.027078543773850e-03, 9.974986109329409e-01, -2.655627937679528e-01, 1.203051856837581e-05, 1.347002392009856e-06
396, 9.809162479105775e-01, -3.822898909837483e-03, 9.970887532805690e-01, -3.090757940622339e-01, 7.563386312286323e-06, 1.695914094097224e-06
470, 9.761313454451215e-01, -5.043426985473847e-03, 9.970869741877522e-01, -3.092646734593000e-01, 4.056339322575807e-06, 9.477660950121981e-07
471, 9.709312151369528e-01, -6.155907755462764e-03, 9.969984644258970e-01, -3.186614122327785e-01, 1.156015919558778e-06, 2.133114657835698e-07
516, 9.653272221507684e-01, -7.037035669776841e-03, 9.967876025626242e-01, -3.410477999592089e-01, -8.537565673178887e-07, -1.212258097551708e-07
521, 9.593081694894299e-01, -7.806276460524369e-03, 9.965938115737897e-01, -3.616218390320114e-01, -2.055836265055405e-06, -2.684681946206034e-07
537, 9.528219201557417e-01, -8.670081991050769e-03, 9.964557676262323e-01, -3.762774305426856e-01, -2.758704342549010e-06, -3.926471191909558e-07
469, 9.909908508761438e-01, 9.427314272816113e-04, 9.987976366343523e-01, -1.276502638915957e-01, 3.134870516363771e-05, -3.301843468107508e-06
393, 9.937385651881013e-01, 6.539428692564601e-04, 9.991871705223409e-01, -8.629495898368751e-02, 3.820284036826553e-05, -4.008952813147146e-06
325, 9.959933141627698e-01, 4.177799034612994e-04, 1.000119743194890e+00, 1.271267144667255e-02, 5.256653863603769e-05, -5.498992017763054e-06
259, 9.977448879721235e-01, 2.348409542063315e-04, 1.000985287787568e+00, 1.046041901189545e-01, 8.535470206357027e-05, -8.906578344641889e-06
196, 9.989932419057433e-01, 1.047439391255718e-04, 1.001393152915725e+00, 1.479056518308059e-01, 1.927403129428947e-04, -2.007518290996437e-05
135, 9.997483215937218e-01, 2.617004469361287e-05, 9.949420674931415e-01, -5.369811137738330e-01, 4.542216041877884e-04, -4.725758881898971e-05
538, 9.458544865076347e-01, -9.721142719961688e-03, 9.963561780121484e-01, -3.868504743345109e-01, -3.188388495066448e-06, -4.968166397626893e-07
