VARIABLES="VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
          0               , -1.72839        , 0.001           
          1               , -1.52378        , 0.001           
          2               , -1.27022        , 0.001           
          3               , -1.02345        , 0.001           
          4               , -0.798384       , 0.001           
          5               , -0.599554       , 0.001           
          6               , -0.427587       , 0.001           
          7               , -0.28136        , 0.001           
          8               , -0.158914       , 0.001           
          9               , -0.0578787      , 0.001           
          10              , 0.0243582       , 0.001           
          11              , 0.090638        , 0.001           
          12              , 0.144079        , 0.001           
          13              , 0.187921        , 0.001           
          14              , 0.224504        , 0.001           
          15              , 0.251956        , 0.001           
          16              , 0.256983        , 0.001           
          17              , 0.216075        , 0.001           
          18              , 0.193867        , 0.001           
          19              , -0.310859       , 0.001           
          20              , -0.235168       , 0.001           
          21              , -0.180373       , 0.001           
          22              , -0.145868       , 0.001           
          23              , -0.125429       , 0.001           
          24              , -0.113925       , 0.001           
          25              , -0.108055       , 0.001           
          26              , -0.106004       , 0.001           
          27              , -0.106916       , 0.001           
          28              , -0.110456       , 0.001           
          29              , -0.116536       , 0.001           
          30              , -0.125251       , 0.001           
          31              , -0.137002       , 0.001           
          32              , -0.152817       , 0.001           
          33              , -0.174855       , 0.001           
          34              , -0.206865       , 0.001           
          35              , -0.253208       , 0.001           
          36              , -0.312441       , 0.001           
          37              , -0.387983       , 0.001           
