VARIABLES="VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
          0               , 4.80124         , 0.001           
          1               , 3.52908         , 0.001           
          2               , 2.39842         , 0.001           
          3               , 1.45267         , 0.001           
          4               , 0.672321        , 0.001           
          5               , 0.0315197       , 0.001           
          6               , -0.494465       , 0.001           
          7               , -0.928025       , 0.001           
          8               , -1.28908        , 0.001           
          9               , -1.5952         , 0.001           
          10              , -1.86192        , 0.001           
          11              , -2.10328        , 0.001           
          12              , -2.33222        , 0.001           
          13              , -2.55988        , 0.001           
          14              , -2.79049        , 0.001           
          15              , -3.00497        , 0.001           
          16              , -3.13203        , 0.001           
          17              , -3.10348        , 0.001           
          18              , -3.33228        , 0.001           
          19              , -0.169442       , 0.001           
          20              , 0.21989         , 0.001           
          21              , 0.455865        , 0.001           
          22              , 0.607915        , 0.001           
          23              , 0.71017         , 0.001           
          24              , 0.782833        , 0.001           
          25              , 0.839418        , 0.001           
          26              , 0.889758        , 0.001           
          27              , 0.941443        , 0.001           
          28              , 1.00068         , 0.001           
          29              , 1.07305         , 0.001           
          30              , 1.16452         , 0.001           
          31              , 1.28299         , 0.001           
          32              , 1.44092         , 0.001           
          33              , 1.65939         , 0.001           
          34              , 1.97307         , 0.001           
          35              , 2.42906         , 0.001           
          36              , 3.0592          , 0.001           
          37              , 3.99137         , 0.001           
