"Point","Sensitivity","PsiRho","Phi_x","Phi_y","PsiE","x_coord","y_coord"
93, -1.722601534531079e+00, -6.835682610653802e+01, 1.183842037086737e+00, 2.614449070078861e-01, 8.553028832881424e-05, 1.000000000000000e+00, -1.000000000000000e-03
70, -8.819550808666079e+00, -5.337896620532556e+01, 1.594738916349617e+00, -3.789778237710747e-02, -1.963067772573676e-04, 9.997621355856203e-01, -1.104661405578656e-03
108, 1.807090112909124e-01, -3.755260109035274e+01, 1.582714703800021e+00, -1.675090961168550e-02, -8.029916911493837e-05, 9.990485012488061e-01, -1.418664944874762e-03
168, -3.533205703394550e-01, -3.131372958131966e+01, 1.622845357510887e+00, 1.196843588220528e-02, -9.513130738032854e-05, 9.978686702132833e-01, -1.937720484070766e-03
226, -1.798673223890472e-02, -2.706961991976006e+01, 1.595397245102383e+00, 1.003297390693338e-02, -9.590292317265875e-05, 9.962132437955421e-01, -2.665584672950867e-03
290, -6.836357489505020e-02, -2.430476591023850e+01, 1.541754589707304e+00, -1.131095490422667e-02, -9.821108680740009e-05, 9.940822606931574e-01, -3.601272110521197e-03
359, -5.071041071539457e-02, -2.224634202922116e+01, 1.469464633339036e+00, -4.289073211075388e-02, -9.762700615046655e-05, 9.914853571674017e-01, -4.738798332476807e-03
394, -5.074072783394545e-02, -2.063767439553765e+01, 1.391344575944717e+00, -7.746185909821190e-02, -9.519044012196794e-05, 9.884321728242919e-01, -6.071492266230218e-03
395, -4.930011740159111e-02, -1.928881423461483e+01, 1.312875145021023e+00, -1.124401947247737e-01, -9.154743420346486e-05, 9.849038280601278e-01, -7.604840562513813e-03
396, -4.382906114287510e-02, -1.814011084326249e+01, 1.238427072920542e+00, -1.460385155066588e-01, -8.719261466769274e-05, 9.809288756219902e-01, -9.324216892488045e-03
470, -3.909288253633694e-02, -1.713595994338223e+01, 1.169009077276103e+00, -1.770054844236567e-01, -8.250016686594278e-05, 9.764883938926089e-01, -1.123699603701911e-02
471, -3.477294448619334e-02, -1.623669554475597e+01, 1.104804342202818e+00, -2.055358154109894e-01, -7.767700189748904e-05, 9.716109697805432e-01, -1.333195472149312e-02
516, -2.855290534805454e-02, -1.543344254370365e+01, 1.046098790535478e+00, -2.313994351203753e-01, -7.292280854568905e-05, 9.662775255275239e-01, -1.562007190902446e-02
521, -2.493914358362660e-02, -1.468393870195995e+01, 9.918457222986850e-01, -2.553192570517453e-01, -6.836435002083294e-05, 9.605069335344338e-01, -1.809674429941591e-02
537, -2.002143667018456e-02, -1.399457861017260e+01, 9.421863480930087e-01, -2.772272946342891e-01, -6.395485470368664e-05, 9.542990465612926e-01, -2.076492248812486e-02
469, 1.286149416126875e-01, -1.187038610708676e+01, 3.351470142148424e-01, -5.017439556509220e-01, 6.436441916639263e-05, 9.922119222715451e-01, -2.865695689061893e-03
393, 8.603769181641820e-02, -1.427494958097915e+01, 3.145559094961980e-01, -5.073920243427015e-01, 9.436413986622373e-05, 9.948726051760148e-01, -1.888769935904102e-03
325, 7.154279712300091e-01, -1.849792271328783e+01, 2.930012685055906e-01, -5.179725585852519e-01, 1.229270973533558e-04, 9.970564384455434e-01, -1.084474019470472e-03
259, 9.229780124633464e+00, -2.523333166120178e+01, 2.748793669174415e-01, -5.108395331066766e-01, 2.346396148824193e-04, 9.987533013274225e-01, -4.591022282699657e-04
196, 1.762997194612158e+03, -3.650670606152357e+01, -5.911815465582777e-02, -5.599105529565018e-01, 3.692865930453983e-04, 9.999628926939207e-01, -1.365583219984906e-05
135, -1.408464311984902e+03, -1.422423510028435e+02, 4.837628243159044e-01, 5.276590601099943e-01, -7.686147803020382e-04, 1.000000000000000e+00, 0.000000000000000e+00
538, -1.597374436034165e-02, -1.333689488517220e+01, 8.960687329395209e-01, -2.974218606428540e-01, -5.977057417290451e-05, 9.476630050780430e-01, -2.362181294299465e-02
541, -1.414224408798365e-02, -1.269759508852943e+01, 8.530700312402668e-01, -3.164367956542084e-01, -5.579505167151103e-05, 9.406073032709968e-01, -2.666103699042147e-02
544, -9.887281246525504e-03, -1.208774892988730e+01, 8.130270630789573e-01, -3.335552364339698e-01, -5.186033667970924e-05, 9.331391429429394e-01, -2.987156465670846e-02
545, -1.046442087005394e-02, -1.146559451392336e+01, 7.749855495165375e-01, -3.499323898840153e-01, -4.821626653494356e-05, 9.252458505652166e-01, -3.324794351106005e-02
550, -6.241001892564317e-03, -1.088907932797800e+01, 7.399558393282961e-01, -3.641144997579613e-01, -4.445004933858228e-05, 9.169519941343894e-01, -3.676664037411406e-02
551, -6.540436340686920e-03, -1.030190342665985e+01, 7.067869380286275e-01, -3.771432676960472e-01, -4.107718928517308e-05, 9.082431930377265e-01, -4.041894739160238e-02
552, -6.969606075440189e-03, -9.742598261073404e+00, 6.767518951981600e-01, -3.881837833653715e-01, -3.769372525353923e-05, 8.991326220984526e-01, -4.418266271354094e-02
553, -9.904831091176900e-03, -9.177210454120964e+00, 6.497310338460223e-01, -3.973585075994990e-01, -3.452662343930751e-05, 8.896241310836983e-01, -4.804054744655396e-02
556, -1.813959832774745e-02, -8.595265426922124e+00, 6.263092816389658e-01, -4.053932867858447e-01, -3.138707025492420e-05, 8.797148393122844e-01, -5.198600648611273e-02
557, -2.108742449478489e-02, -8.063953348718314e+00, 6.078945449291622e-01, -4.107945980506442e-01, -2.811480258850251e-05, 8.694219966988325e-01, -5.600626189337733e-02
558, -2.683233150017871e-02, -7.523039455008481e+00, 5.938106247077877e-01, -4.155108872153808e-01, -2.538631529560535e-05, 8.587630404630028e-01, -6.008891017100312e-02
567, -2.490452526175333e-02, -7.217156862840301e+00, 5.914863848279954e-01, -4.147724718572747e-01, -2.335670319927462e-05, 8.477169457374284e-01, -6.423621257246763e-02
570, -3.037472751138597e-02, -6.860360271279228e+00, 5.940208189832347e-01, -4.117501948949063e-01, -2.235194789432094e-05, 8.363209362807044e-01, -6.842843473258566e-02
571, -2.272484015202452e-02, -6.620403617695495e+00, 6.023689801855034e-01, -4.055705723984552e-01, -2.195428088942056e-05, 8.245835781897208e-01, -7.265709882167871e-02
572, -2.013488975704086e-02, -6.370564961646884e+00, 6.111406936330284e-01, -3.994981907659322e-01, -2.222071979643900e-05, 8.124941550296225e-01, -7.692069843230691e-02
573, -1.508203958348384e-02, -6.253417941530746e+00, 6.220536433081513e-01, -3.931874081407996e-01, -2.257730677435372e-05, 8.000811995613997e-01, -8.120405294284785e-02
578, -9.874441064298217e-03, -6.202170255566728e+00, 6.329505769157805e-01, -3.862789127380244e-01, -2.298264981390321e-05, 7.873537456814902e-01, -8.549858942384138e-02
579, -1.290863669695012e-02, -6.145966075599521e+00, 6.429055443937706e-01, -3.807640132097636e-01, -2.355387362340310e-05, 7.743298438441808e-01, -8.978948887152655e-02
577, -7.334600098268193e-03, -6.149346609612683e+00, 6.532181223622106e-01, -3.738061793149671e-01, -2.373540378685469e-05, 7.610077150197835e-01, -9.406747777501355e-02
576, -1.086309541963324e-02, -6.086380053338072e+00, 6.629112351152240e-01, -3.690037338577379e-01, -2.459114510233114e-05, 7.473953596122606e-01, -9.831972596490778e-02
575, -4.899810006818201e-03, -6.173192638146050e+00, 6.749734283940041e-01, -3.617554677479766e-01, -2.484508153870737e-05, 7.335206854829130e-01, -1.025272610807828e-01
574, -9.764126485175498e-03, -6.175778404264735e+00, 6.856402336002567e-01, -3.568157092492301e-01, -2.592084324157261e-05, 7.193921869180818e-01, -1.066773152763145e-01
569, -2.381176467491337e-03, -6.342242899610752e+00, 6.985820964946489e-01, -3.495901113071153e-01, -2.629468759422955e-05, 7.050082799618819e-01, -1.107598425729038e-01
568, -1.172836771296052e-02, -6.360937743254508e+00, 7.087791484647198e-01, -3.447657512025294e-01, -2.731415520905276e-05, 6.903975049090465e-01, -1.147564709760203e-01
566, 1.078982972377656e-04, -6.592156071374925e+00, 7.222015319158697e-01, -3.380786740350717e-01, -2.777576567307344e-05, 6.755695490162060e-01, -1.186574593076492e-01
565, -1.181403903487894e-02, -6.638492362058253e+00, 7.321631120490171e-01, -3.335573799425470e-01, -2.876936690660409e-05, 6.605348555915000e-01, -1.224551105000392e-01
564, 1.542902437038288e-03, -6.910294476234856e+00, 7.456221555938641e-01, -3.274807551460017e-01, -2.926923890250574e-05, 6.453141758394891e-01, -1.261397096631241e-01
563, -1.136439679457316e-02, -6.978767751005176e+00, 7.553591054144094e-01, -3.234151386006527e-01, -3.026743886261888e-05, 6.299284279037715e-01, -1.297023232597213e-01
562, 2.528263057392263e-03, -7.272263623233343e+00, 7.685438173929354e-01, -3.179807113387123e-01, -3.078671864880706e-05, 6.143888443847303e-01, -1.331369289768896e-01
561, -9.881924346382047e-03, -7.353025524611679e+00, 7.779152042884501e-01, -3.143570895567878e-01, -3.177708605590853e-05, 5.987067674368181e-01, -1.364378879257814e-01
560, 3.201434667050214e-03, -7.649514267329120e+00, 7.905040932091263e-01, -3.095816303591562e-01, -3.231438094175448e-05, 5.829036256135732e-01, -1.395955473027298e-01
