"Point","Sensitivity","PsiRho","Phi_x","Phi_y","PsiE","x_coord","y_coord"
93, 1.888917373899987e+01, -3.717890760524520e+02, -5.082536845384724e+00, -1.195907473016489e+01, 4.999165622468037e-03, 1.000000000000000e+00, -1.000000000000000e-03
70, -1.093412608218354e+02, -2.577287958225173e+02, -1.232396227755527e+01, -3.955918732701523e+00, 6.611132003107686e-03, 9.997621355856203e-01, -1.104660301901181e-03
108, 2.201347297656523e+01, -2.239952783378216e+02, -1.219286895428968e+01, -4.267078131042052e+00, 3.335809966246635e-03, 9.990485012488061e-01, -1.418595187952157e-03
168, -7.264282630362931e-02, -1.132244299894781e+02, -1.306150724784972e+01, -4.775054457685014e+00, 2.864627346329363e-03, 9.978686702132833e-01, -1.936953945863884e-03
226, 8.064290762586193e-01, -3.950066369157621e+01, -1.288059080851524e+01, -4.834354168706375e+00, 2.386290868114314e-03, 9.962132437955421e-01, -2.661432663269684e-03
290, 4.793797745604599e-01, 1.301676067956065e+01, -1.244294708777652e+01, -4.604397028119989e+00, 2.089099703178796e-03, 9.940822606931574e-01, -3.586198642727912e-03
359, 6.098819293004186e-01, 4.825336701765832e+01, -1.182894293642893e+01, -4.255006342629064e+00, 1.845064688743743e-03, 9.914853571674017e-01, -4.696852004967901e-03
394, 5.665720527071045e-01, 7.219682148959751e+01, -1.119327749857009e+01, -3.870426317061255e+00, 1.650739047991799e-03, 9.884321728242919e-01, -5.975250263063394e-03
395, 5.396973334257913e-01, 8.785588908965167e+01, -1.056779568936017e+01, -3.487310387274152e+00, 1.491868154718580e-03, 9.849038280601278e-01, -7.413771613515381e-03
396, 4.955157955272892e-01, 9.813494619724236e+01, -9.980119219761251e+00, -3.132981528556072e+00, 1.357988008751632e-03, 9.809288756219902e-01, -8.988621740564274e-03
470, 4.696843442327370e-01, 1.047340309431423e+02, -9.432334576587257e+00, -2.831622488832787e+00, 1.241409522071264e-03, 9.764883938926089e-01, -1.070358030159697e-02
471, 4.545706566618775e-01, 1.090405818972204e+02, -8.929282656735367e+00, -2.590567987431701e+00, 1.137923578080551e-03, 9.716109697805432e-01, -1.255525177834857e-02
516, 4.260858938879227e-01, 1.121608768317676e+02, -8.478390180142759e+00, -2.412177389653045e+00, 1.046188572354597e-03, 9.662775255275239e-01, -1.456889406570545e-02
521, 4.024822500322734e-01, 1.146542325120150e+02, -8.079742499383377e+00, -2.283955217253046e+00, 9.666293727432479e-04, 9.605069335344338e-01, -1.676039340314389e-02
537, 3.607798210037667e-01, 1.170671080896500e+02, -7.738005930801872e+00, -2.192234656210199e+00, 8.991887164389572e-04, 9.542990465612926e-01, -1.915056463992562e-02
469, -1.899488229897075e+00, -8.539666462940545e+00, 5.178656846304240e-01, 1.026618808017127e+00, -1.249082783510350e-03, 9.922119222715451e-01, -2.800623477925074e-03
393, 2.041010038707563e-01, 4.092635809116445e+00, 7.051774779858556e-01, 1.064042179578907e+00, -1.524328458518469e-03, 9.948726051760148e-01, -1.868841437968549e-03
325, -2.563879168913011e+00, 2.187855839234961e+01, 8.429193496135950e-01, 1.192918422742158e+00, -1.840334782016735e-03, 9.970564384455434e-01, -1.080505494666439e-03
259, -1.560894236508557e+01, 4.654551984035918e+01, 2.891350577893412e-01, 1.066173685943048e+00, -2.603345089737357e-03, 9.987533013274225e-01, -4.587899463062358e-04
196, -1.686311285212875e+04, -2.580905327082667e+01, 1.551136761990275e+00, 1.725467490630628e+00, -6.269363933376733e-03, 9.999628926939207e-01, -1.365582377895656e-05
135, -1.078855063324072e+04, -1.972056884187058e+03, -9.145849011629821e+00, 5.346377572634540e+00, -4.739873782989588e-03, 1.000000000000000e+00, 0.000000000000000e+00
538, 3.136829156589849e-01, 1.194918442778635e+02, -7.447508105610752e+00, -2.120373882103627e+00, 8.439971709339807e-04, 9.476630050780430e-01, -2.174825545381644e-02
541, 2.718212411670433e-01, 1.219165620107801e+02, -7.202742766362598e+00, -2.052044291256399e+00, 8.003001974900387e-04, 9.406073032709968e-01, -2.455014787346342e-02
544, 2.215365215066372e-01, 1.243309885990629e+02, -6.996687641211482e+00, -1.982715463798776e+00, 7.653096084374862e-04, 9.331391429429394e-01, -2.754142113318638e-02
545, 2.023519442832277e-01, 1.264362486599046e+02, -6.817420209306327e+00, -1.904028949957460e+00, 7.380209352555879e-04, 9.252458505652166e-01, -3.070943165031977e-02
550, 1.662675949892648e-01, 1.284590575213702e+02, -6.664424448047818e+00, -1.824248938762369e+00, 7.143162869973557e-04, 9.169519941343894e-01, -3.402557096846794e-02
551, 1.523880824583463e-01, 1.300710721326054e+02, -6.527082991218965e+00, -1.740183572731966e+00, 6.956064069153921e-04, 9.082431930377265e-01, -3.747873934095435e-02
552, 1.404378404028844e-01, 1.313666812177516e+02, -6.407395909858405e+00, -1.657917055468908e+00, 6.794457710517167e-04, 8.991326220984526e-01, -4.104940681006458e-02
553, 1.496221082414358e-01, 1.321081876379911e+02, -6.300085694959100e+00, -1.581647218042801e+00, 6.657137554698757e-04, 8.896241310836983e-01, -4.472632053215763e-02
556, 1.879341493695062e-01, 1.322774086296424e+02, -6.205732010369212e+00, -1.511553326971754e+00, 6.528027185261662e-04, 8.797148393122844e-01, -4.851076759778427e-02
557, 1.976674016655421e-01, 1.322729074808718e+02, -6.130695992935554e+00, -1.455199622940210e+00, 6.401507202969714e-04, 8.694219966988325e-01, -5.239863910401133e-02
558, 2.236764406554653e-01, 1.318205578060661e+02, -6.067865045791594e+00, -1.400907820046906e+00, 6.306762258267063e-04, 8.587630404630028e-01, -5.638539521858454e-02
567, 2.121225798187888e-01, 1.318663416750459e+02, -6.047920309929255e+00, -1.368486783780220e+00, 6.246776177550264e-04, 8.477169457374284e-01, -6.047968521601914e-02
570, 2.282369774256835e-01, 1.314738336831212e+02, -6.042478167062371e+00, -1.343829022676452e+00, 6.236780863582741e-04, 8.363209362807044e-01, -6.466727579943346e-02
571, 1.911820712036512e-01, 1.316512164583585e+02, -6.060518086810847e+00, -1.331985252154073e+00, 6.254850437677335e-04, 8.245835781897208e-01, -6.894373577223661e-02
572, 1.787499518708751e-01, 1.320074459701538e+02, -6.081657287987210e+00, -1.321405404063285e+00, 6.303369892720627e-04, 8.124941550296225e-01, -7.331093350940539e-02
573, 1.571075880620089e-01, 1.331375004721077e+02, -6.114957979830987e+00, -1.312653191426105e+00, 6.362788585819775e-04, 8.000811995613997e-01, -7.775615556181262e-02
578, 1.307131133732392e-01, 1.348507281690259e+02, -6.153192786733022e+00, -1.307425118745084e+00, 6.430354602339516e-04, 7.873537456814902e-01, -8.227282655578494e-02
579, 1.391559410619164e-01, 1.368328012984026e+02, -6.193031656586847e+00, -1.294305204943523e+00, 6.517103699792545e-04, 7.743298438441808e-01, -8.684749424174674e-02
577, 1.106563280042440e-01, 1.393899355894957e+02, -6.241129059705174e+00, -1.287013155296074e+00, 6.591410948443330e-04, 7.610077150197835e-01, -9.147228405189715e-02
576, 1.231204059059565e-01, 1.418990507332120e+02, -6.291699910339455e+00, -1.268192342097337e+00, 6.707118799987029e-04, 7.473953596122606e-01, -9.613527313505330e-02
575, 9.472938976319469e-02, 1.452540187143653e+02, -6.356698107839629e+00, -1.259005019736037e+00, 6.799350187218187e-04, 7.335206854829130e-01, -1.008173366414827e-01
574, 1.155104765290215e-01, 1.483974555480814e+02, -6.418744996403292e+00, -1.235873278361995e+00, 6.937387347697144e-04, 7.193921869180818e-01, -1.055056859244539e-01
569, 7.715076287719327e-02, 1.524083946018672e+02, -6.493688386473043e+00, -1.221169653567157e+00, 7.047065116748078e-04, 7.050082799618819e-01, -1.101903652447256e-01
568, 1.207191078869577e-01, 1.558100626508165e+02, -6.556989930906296e+00, -1.191397111825703e+00, 7.192124807483850e-04, 6.903975049090465e-01, -1.148514868840214e-01
566, 6.106342132275105e-02, 1.603500301713353e+02, -6.637958797820360e+00, -1.170668870381581e+00, 7.313349712347448e-04, 6.755695490162060e-01, -1.194781438598612e-01
565, 1.222050595189830e-01, 1.641032280836664e+02, -6.703290045097528e+00, -1.137414904611166e+00, 7.465934434750318e-04, 6.605348555915000e-01, -1.240611037631183e-01
564, 4.958600435605059e-02, 1.692079060814368e+02, -6.790132607668788e+00, -1.112925809260208e+00, 7.601013581191516e-04, 6.453141758394891e-01, -1.285881931868800e-01
563, 1.201706577973106e-01, 1.734519585416165e+02, -6.860407251309117e+00, -1.076317334881739e+00, 7.769145977817232e-04, 6.299284279037715e-01, -1.330475560742820e-01
562, 4.255755757732615e-02, 1.792242376988255e+02, -6.954771787301911e+00, -1.048291598553041e+00, 7.922302120461573e-04, 6.143888443847303e-01, -1.374304148201937e-01
561, 1.181685499695932e-01, 1.841919571906788e+02, -7.033907747557870e+00, -1.008461331444215e+00, 8.111832456501772e-04, 5.987067674368181e-01, -1.417280468758711e-01
560, 3.734855538711079e-02, 1.908528682922919e+02, -7.139691375742479e+00, -9.734844513245051e-01, 8.292296059458722e-04, 5.829036256135732e-01, -1.459267199721041e-01
