"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y"
93, 1.000000000000000e+00, -1.000000000000000e-03, 9.729459607131956e+03, -1.320911024266005e+01, 0.000000000000000e+00, 0.000000000000000e+00
70, 9.997621355856203e-01, -1.104660272222612e-03, 1.123075356557107e+04, 1.134524031715912e+00, 0.000000000000000e+00, 0.000000000000000e+00
108, 9.990485012488061e-01, -1.418593312162145e-03, 1.098211747479400e+04, -1.240990192843248e+00, 0.000000000000000e+00, 0.000000000000000e+00
168, 9.978686702132833e-01, -1.936933333699121e-03, 1.108881714002100e+04, -2.215622742724300e-01, 0.000000000000000e+00, 0.000000000000000e+00
226, 9.962132437955421e-01, -2.661321018924011e-03, 1.108513670226281e+04, -2.567258429235496e-01, 0.000000000000000e+00, 0.000000000000000e+00
290, 9.940822606931574e-01, -3.585793344822753e-03, 1.109735603848548e+04, -1.399800924539294e-01, 0.000000000000000e+00, 0.000000000000000e+00
359, 9.914853571674017e-01, -4.695724209454657e-03, 1.110081797579615e+04, -1.069041166359058e-01, 0.000000000000000e+00, 0.000000000000000e+00
394, 9.884321728242919e-01, -5.972662845624020e-03, 1.110327642291671e+04, -8.341566776686074e-02, 0.000000000000000e+00, 0.000000000000000e+00
395, 9.849038280601278e-01, -7.408635384247162e-03, 1.110448942648764e+04, -7.182641204704412e-02, 0.000000000000000e+00, 0.000000000000000e+00
396, 9.809288756219902e-01, -8.979601749217412e-03, 1.110531431288768e+04, -6.394529804294155e-02, 0.000000000000000e+00, 0.000000000000000e+00
470, 9.764883938926089e-01, -1.068924617253275e-02, 1.110597365726428e+04, -5.764580250071478e-02, 0.000000000000000e+00, 0.000000000000000e+00
471, 9.716109697805432e-01, -1.253438528221191e-02, 1.110646980399370e+04, -5.290552682498946e-02, 0.000000000000000e+00, 0.000000000000000e+00
516, 9.662775255275239e-01, -1.454066299290345e-02, 1.110666648002656e+04, -5.102644840064639e-02, 0.000000000000000e+00, 0.000000000000000e+00
521, 9.605069335344338e-01, -1.672451856095575e-02, 1.110639912737684e+04, -5.358078401782553e-02, 0.000000000000000e+00, 0.000000000000000e+00
537, 9.542990465612926e-01, -1.910724908292108e-02, 1.110554948121576e+04, -6.169845726146200e-02, 0.000000000000000e+00, 0.000000000000000e+00
469, 9.922119222715451e-01, -2.798803052026054e-03, 1.118586738798021e+04, 7.056733647836265e-01, 0.000000000000000e+00, 0.000000000000000e+00
393, 9.948726051760148e-01, -1.868283932970513e-03, 1.115867442868584e+04, 4.458669086503308e-01, 0.000000000000000e+00, 0.000000000000000e+00
325, 9.970564384455434e-01, -1.080394474701038e-03, 1.126715932295109e+04, 1.482351228651859e+00, 0.000000000000000e+00, 0.000000000000000e+00
259, 9.987533013274225e-01, -4.587812102089946e-04, 1.093930962675319e+04, -1.649984122991877e+00, 0.000000000000000e+00, 0.000000000000000e+00
196, 9.999628926939207e-01, -1.365582354338231e-05, 1.486314481627610e+04, 3.583904765194409e+01, 0.000000000000000e+00, 0.000000000000000e+00
135, 1.000000000000000e+00, 0.000000000000000e+00, 1.437609535348386e+04, 3.118568890860611e+01, 0.000000000000000e+00, 0.000000000000000e+00
538, 9.476630050780430e-01, -2.169801665619044e-02, 1.110407344126597e+04, -7.580081016516377e-02, 0.000000000000000e+00, 0.000000000000000e+00
541, 9.406073032709968e-01, -2.449358647631004e-02, 1.110206544267918e+04, -9.498559219296505e-02, 0.000000000000000e+00, 0.000000000000000e+00
544, 9.331391429429394e-01, -2.747903631888175e-02, 1.109966848213350e+04, -1.178865871940343e-01, 0.000000000000000e+00, 0.000000000000000e+00
545, 9.252458505652166e-01, -3.064152978954749e-02, 1.109702197867349e+04, -1.431717603761380e-01, 0.000000000000000e+00, 0.000000000000000e+00
550, 9.169519941343894e-01, -3.395232227625845e-02, 1.109424002748196e+04, -1.697510257065738e-01, 0.000000000000000e+00, 0.000000000000000e+00
551, 9.082431930377265e-01, -3.740025086131503e-02, 1.109139700702075e+04, -1.969137578957094e-01, 0.000000000000000e+00, 0.000000000000000e+00
552, 8.991326220984526e-01, -4.096585877318018e-02, 1.108863705569198e+04, -2.232828325545165e-01, 0.000000000000000e+00, 0.000000000000000e+00
553, 8.896241310836983e-01, -4.463805610943501e-02, 1.108595144939410e+04, -2.489416013288121e-01, 0.000000000000000e+00, 0.000000000000000e+00
556, 8.797148393122844e-01, -4.841834444870304e-02, 1.108323052378181e+04, -2.749378172270882e-01, 0.000000000000000e+00, 0.000000000000000e+00
557, 8.694219966988325e-01, -5.230285046019165e-02, 1.108044811414032e+04, -3.015214626716157e-01, 0.000000000000000e+00, 0.000000000000000e+00
558, 8.587630404630028e-01, -5.628724821675071e-02, 1.107755111080693e+04, -3.291999569945163e-01, 0.000000000000000e+00, 0.000000000000000e+00
567, 8.477169457374284e-01, -6.038036191330490e-02, 1.107450322076517e+04, -3.583200502460100e-01, 0.000000000000000e+00, 0.000000000000000e+00
570, 8.363209362807044e-01, -6.456810777237720e-02, 1.107128664686608e+04, -3.890517796089335e-01, 0.000000000000000e+00, 0.000000000000000e+00
571, 8.245835781897208e-01, -6.884616516043125e-02, 1.106790459950835e+04, -4.213644723532106e-01, 0.000000000000000e+00, 0.000000000000000e+00
